incorrect,correct,#errors,data_source
मैं रोज़ सुबह जल्दी उठकर योग करता हूँ और फिर नहाकर तैयार होकर काम पर जाता हूँ लेकिन शाम को घर आने पर बहुत थकान होता है इसलिए जल्दी सो जाता हूँ।,मैं रोज़ सुबह जल्दी उठकर योग करता हूँ और फिर नहाकर तैयार होकर काम पर जाता हूँ लेकिन शाम को घर आने पर बहुत थकान होती है इसलिए जल्दी सो जाता हूँ।,1,human
पांच बजों के बाद हम सब मिलकर घूमने जाएंगे और आइसक्रीम खाएंगे।,पांच बजे के बाद हम सब मिलकर घूमने जाएंगे और आइसक्रीम खाएंगे।,1,human
आज इंग्लिश का टेस्ट था जिसमें हमें एस्से लिखना था दिया गया टॉपिक पर।,आज इंग्लिश का टेस्ट था जिसमें हमें एस्से लिखना था दिए गए टॉपिक पर।,1,human
मैं तीन घंटे से पढ़ रहा था पर अभी भी मुझे पूरा समझ नहीं आया।,मैं तीन घंटे से पढ़ रहा हूँ पर अभी भी मुझे पूरा समझ नहीं आया।,1,human
आज मैं अपना हिंदी टीचर के साथ बॉलीवुड डांस सीखा और बहुत मजा आया था।,आज मैं अपने हिंदी टीचर के साथ बॉलीवुड डांस सीखा और बहुत मज़ा आया था।,2,human
मैंने दो फिल्मों देखी और मुझे उनको बहुत पसंद आया अपने परिवार के साथ।,मैंने दो फिल्में देखीं और मुझे अपने परिवार के साथ वे बहुत पसंद आईं।,3,human
सर ने कहा की तुम आज शाम को मेरे ऑफिस में आओ और फाइल लेकर आओ।,सर ने कहा की तुम आज शाम को मेरे ऑफिस में आओ और फाइल लेकर आओ +।,1,human
सीढ़ी से गिरकर हाथ में चोट लग गया है। दर्द हो रहा है।,सीढ़ी से गिरकर हाथ में चोट लग गई है। दर्द हो रहा है।,1,human
मेरी बहन हर सप्ताहांत अपना सहेलियों के साथ व्यापारिक केंद्र जाता है।,मेरी बहन हर सप्ताहांत अपनी सहेलियों के साथ व्यापारिक केंद्र जाती है।,2,human
हमारे गांव का मुखिया ने सभी लोगों को एक महत्वपूर्ण बैठक के लिए बुलाया गया है।,हमारे गांव के मुखिया ने सभी लोगों को एक महत्वपूर्ण बैठक के लिए बुलाया है +।,2,human
चार हाथियों जंगल में चल रहा है और पेड़ों की पत्तियां खा रहा है और अपने बच्चों को भी खिला रहा है।,चार हाथी जंगल में चल रहे हैं और पेड़ों की पत्तियां खा रहे हैं और अपने बच्चों को भी खिला रहे हैं।,4,human
स्कूल में एडमिशन के लिए बहुत लंबा लाइन लगा है।,स्कूल में एडमिशन के लिए बहुत लंबी लाइन लगी है।,2,human
बाइक की सर्विसिंग कराने में दो हजार रुपया लग गया।,बाइक की सर्विसिंग कराने में दो हज़ार रुपये लग गए।,3,human
मैं पिछले साल इंग्लैंड जाता हूँ और वहां की संस्कृति और इतिहास के बारे में बहुत कुछ सीखता हूँ।,मैं पिछले साल इंग्लैंड गया था और वहां की संस्कृति और इतिहास के बारे में बहुत कुछ सीखा था।,3,human
मैं उससे बात करने का था लेकिन वह मुझसे पहले ही चला गया।,मैं उससे बात करने वाला था लेकिन वह मुझसे पहले ही चला गया।,1,human
मैं अगले महीने अपने चाचा के घर जाता हूँ और वहाँ दो हफ्ते रुकूँगा।,मैं अगले महीने अपने चाचा के घर जाऊँगा और वहाँ दो हफ्ते रुकूँगा।,1,human
मैं गूगल ट्रांसलेट का इस्तेमाल करता हूँ हिंदी सीखने को क्योंकि उच्चारण भी सुना देता है।,मैं गूगल ट्रांसलेट का इस्तेमाल करता हूँ हिंदी सीखने के लिए क्योंकि उच्चारण भी सुना देता है।,1,human
मोर ने अपने पंख फैलाया+ नाचना शुरू किया और सुंदर आवाज़ में चिल्लाया बारिश में।,मोर ने अपने पंख फैलाए+ नाचना शुरू किया और सुंदर आवाज़ में चिल्लाया बारिश में।,1,human
शाम को मैं अपने मित्रों के साथ क्रिकेट खेलता हूँ और बहुत मज़ा आता हैं।,शाम को मैं अपने मित्रों के साथ क्रिकेट खेलता हूँ और बहुत मज़ा आता है।,1,human
माली ने बगीचे में पौधे लगाया+ पानी दिया और खाद भी डाली मिट्टी में।,माली ने बगीचे में पौधे लगाए+ पानी दिया और खाद भी डाली मिट्टी में।,1,human
जब दोपहर होती है+ तब मैं लंच करता हूँ और थोड़ा आराम करता हूँ।,जब दोपहर होगी+ तब मैं लंच करूँगा और थोड़ा आराम करूँगा।,1,human
मैंने मेरे पिताजी से पैसे मांगे और उन्होंने मुझे तुरंत दे दिए बिना कुछ पूछे।,मैंने अपने पिताजी से पैसे मांगे और उन्होंने बिना कुछ पूछे मुझे तुरंत दे दिए।,2,human
सीता अपना काम खत्म किया और फिर अपने दोस्तों से मिलने गई।,सीता ने अपना काम खत्म किया और फिर अपने दोस्तों से मिलने गई।,1,human
मैं अगले हफ्ते अमेरिका जाता हूँ और वहां नौकरी करता हूँ और अपने परिवार को भी बुलाता हूँ।,मैं अगले हफ्ते अमेरिका जाऊँगा और वहां नौकरी करूँगा और अपने परिवार को भी बुलाऊँगा।,3,human
तुम्हारेको क्या पसंद है? मुझेको मिठाई बहुत पसंद है खासकर जलेबी।,तुम्हें क्या पसंद है? मुझे मिठाई बहुत पसंद है खासकर जलेबी।,2,human
मोहन का पत्नी दिल्ली में नौकरी करता है और वह हर महीने अपने परिवार से मिलने आता है।,मोहन की पत्नी दिल्ली में नौकरी करती है और वह हर महीने अपने परिवार से मिलने आती है।,3,human
सभी मंत्री और सचिव साथ मिलकर बैठक में भाग लिया और महत्वपूर्ण निर्णय लिए।,सभी मंत्रियों और सचिवों ने साथ मिलकर बैठक में भाग लिया और महत्वपूर्ण निर्णय लिए।,1,human
वह ऑनेस्ट पर्सन है।,वह ईमानदार व्यक्ति है।,2,human
कल रात मूसलाधार बारिश हुआ था और सुबह सड़कों पर पानी भरा हुआ था।,कल रात मूसलाधार बारिश हुई थी और सुबह सड़कों पर पानी भरा हुआ था।,1,human
मेरी दादी हर दिन सुबह पूजा करता है और भगवान से सबकी खुशी की प्रार्थना करता है फिर रसोई में जाकर सबके लिए नाश्ता बनाता है और प्रेम से खिलाता है।,मेरी दादी हर दिन सुबह पूजा करती हैं और भगवान से सबकी खुशी की प्रार्थना करती हैं फिर रसोई में जाकर सबके लिए नाश्ता बनाती हैं और प्रेम से खिलाती हैं।,4,human
मैंने दस रुपयों बचाए हैं और अब मिठाई खरीदूँगा अपने लिए।,मैंने दस रुपये बचाए हैं और अब मिठाई खरीदूँगा अपने लिए।,1,human
मेरी माँ ने खाना को बनाया और हम सब ने उसे को खाया।,मेरी माँ ने खाना बनाया और हम सब ने उसे खाया।,2,human
