incorrect,correct,#errors,data_source
रसोई में माँ ने सब्जी काटा+ मसाला पीसा और चूल्हे पर खाना पकाने लगी।,रसोई में माँ ने सब्जी काटी+ मसाला पीसा और चूल्हे पर खाना पकाने लगी।,1,human
हमारे कॉलेज में कल एक प्रसिद्ध गायक आएगा और छात्रों के लिए प्रस्तुति देगा।,हमारे कॉलेज में कल एक प्रसिद्ध गायक आएँगे और छात्रों के लिए प्रस्तुति देंगे।,2,human
हमारे शहर में एक नया शॉपिंग मॉल खुला है जहाँ हर तरह का सामान मिलता है।,हमारे शहर में एक नया शॉपिंग मॉल खुला है जहाँ हर तरह का सामान मिलता है।,1,human
जियो सावन पर बॉलीवुड हिट सुनने को सबस्क्रिप्शन लिया है जो काफी सस्ता है।,जियो सावन पर बॉलीवुड हिट सुनने के लिए सबस्क्रिप्शन लिया है जो काफी सस्ता है।,1,human
तब मूसा ने अपना हाथ आकाश की ओर बढ़ाया+ और मि देश में सारे तीन दिन तक घोर अन्धकार छाया रहा।,तब मूसा ने अपना हाथ आकाश की ओर बढ़ाया+ और सारे मि देश में तीन दिन तक घोर अन्धकार छाया रहा।,1,synthetic
हमारे गाँव का सरपंच बहुत अच्छा काम करता है और सभी का समस्याओं को सुनता है लेकिन कुछ लोग राजनीति करके उसका बदनाम करने की कोशिश करते हैं और झूठे आरोप लगाते हैं।,हमारे गाँव के सरपंच बहुत अच्छा काम करते हैं और सभी की समस्याओं को सुनते हैं लेकिन कुछ लोग राजनीति करके उन्हें बदनाम करने की कोशिश करते हैं और झूठे आरोप लगाते हैं।,5,human
इसका मतलब है वह प्रक्रिया जिसमें जातिव्यवस्था में निचले पायदान पर स्थित जातियाँ ऊँचा उठने का प्रयास करती हैं।,इसका मतलब है वह प्रक्रिया जिसमें जाति-व्यवस्था में निचले पायदान पर स्थित जातियाँ ऊपर उठने का प्रयास करती हैं।,2,synthetic
लड़ाई के बाद+ राम और सीता आखिरकार मिलते हैं और सभी अयोध्या लौटते हैं+ जहां शाही परिवार और विशेष रूप से+ भरत उनके आने की प्रतीक्षा कर रहे हैं।,लड़ाई के बाद+ राम और सीता आखिरकार मिलते हैं और सभी अयोध्या लौटते हैं+ जहां शाही परिवार और विशेष रूप से+ भरत उनके आने की प्रतीक्षा कर रहे हैं।,1,synthetic
उन्होंने कहा कि इतिहास में यह प्रकार का और इतने बड़े स्तर का टीकाकरण अभियान पहले कभी नहीं चलाया गया है।,उन्होंने कहा कि इतिहास में इस प्रकार का और इतने बड़े स्तर का टीकाकरण अभियान पहले कभी नहीं चलाया गया है।,1,synthetic
राहाणे ने कहा है+ लोग आलोचना करेंगे या तारीफ करेंगे लेकिन हमें मुश्किल दौर में एकजुट रहना होगा।,रहाणे ने कहा+ लोग आलोचना करेंगे या तारीफ करेंगे लेकिन हमें मुश्किल दौर में एकजुट रहना होगा।,1,synthetic
