incorrect,correct,#errors,data_source
कोविड के टाइम पर मास्क पहनना जरूरी था लेकिन अब लोग भूल गया है।,कोविड के समय मास्क पहनना जरूरी था लेकिन अब लोग भूल गए हैं।,2,human
जैव-मंडल में कीड़ों की मूल्य बहुत है+ क्योंकि प्रजातियों के समृद्धि का मामले में उनका संख्या अन्य जीव समूहों से ज़्यादा है।,जैव-मंडल में कीड़ों का मूल्य बहुत है+ क्योंकि प्रजातियों की समृद्धि के मामले में उनकी संख्या अन्य जीव समूहों से ज़्यादा है।,2,synthetic
"नेक्सन इलेक्ट्रिक वेरिएंट उन चार इलेक्ट्रिक कारों में से एक होगी, जिसका कंपनी अगले साल निर्मान करने की योजना बना रहे हैं।","नेक्सन इलेक्ट्रिक वेरिएंट उन चार इलेक्ट्रिक कारों में से एक होगी, जिसका कंपनी अगले साल निर्मान करने की योजना बना रही है।",1,synthetic
अब मुझ से यहोवा की शपथ खा+ कि मैं तेरे वंश को तेरे पीछे नाश न करूंगा+ और तेरे पिता के घराने से से तेरा नाम मिटा न डालूंगा।,अब मुझ से यहोवा की शपथ खा+ कि मैं तेरे वंश को तेरे पीछे नाश न करूंगा+ और तेरे पिता के घराने में से तेरा नाम मिटा न डालूंगा।,1,synthetic
हमारे मकान मालिक ने अचानक किराया बढ़ाने की बात कही है और कहा है कि अगर मंजूर नहीं है तो घर खाली कर दो क्योंकि बाजार रेट बढ़ गया है यह बिल्कुल अनुचित लग रहा है।,हमारे मकान मालिक ने अचानक किराया बढ़ाने की बात कही है और कहा है कि अगर मंज़ूर नहीं है तो घर खाली कर दो क्योंकि बाज़ार दर बढ़ गई है यह बिल्कुल अनुचित लग रहा है।,3,human
संयुक्त आयोग की बैठक में स्पेस+ रिन्यूएबल एनर्जी+ स्टार्ट अप+ स्माल एंड मीडियम एंटरप्राइजेस+ फूड सिक्यूरिटी+ सर्विस सेक्टर+ टूरिज्म सेक्टर इत्यादि विषयों पर चर्चा की गई।,संयुक्त आयोग की बैठक में अंतरिक्ष+ नवीकरणीय ऊर्जा+ स्टार्ट अप+ लघु एवं मध्यम उपक्रमों+ खाद्य सुरक्षा+ सेवा क्षेत्र+ पर्यटन क्षेत्र इत्यादि विषयों पर चर्चा की गई।,2,synthetic
राष्ट्रपति प्रणब मुखर्जी ने राष्ट्रपति भवन में डिजिटल पेमेंट प्रमोशन स्कीम के तहत यह प्रोत्साहन योजना का 100वां लकी ड्रॉ निकालकर विजेताओं का नाम घोषित किया।,राष्ट्रपति प्रणब मुखर्जी ने राष्ट्रपति भवन में डिजिटल पेमेंट प्रमोशन स्कीम के तहत इस प्रोत्साहन योजना का 100वां लकी ड्रॉ निकालकर विजेताओं का नाम घोषित किया।,1,synthetic
वह अपनी पढ़ाई पूरी करता है और फिर नौकरी ढूंढता है अच्छी कंपनी में।,वह अपनी पढ़ाई पूरी करेगा और फिर अच्छी कंपनी में नौकरी ढूंढेगा।,2,human
पुलिस ने यह मामले में महिला के पति और उसके ससुराल वालों पर मामला दर्ज किया था।,पुलिस ने इस मामले में महिला के पति और उसके ससुराल वालों पर मामला दर्ज किया था।,1,synthetic
बच्चे कला और संस्कृति+ नवाचार+ एजुकेशनल+ सामाजिक सेवा+ खेल और बहादुरी के क्षेत्र में विजेता हैं।,बच्चे कला और संस्कृति+ नवाचार+ शैक्षिक+ सामाजिक सेवा+ खेल और बहादुरी के क्षेत्र में विजेता हैं।,1,synthetic
जैसे ही वह प्रोजेक्ट पूरा करता है+ मैं उसे बधाई देता हूँ उसकी सफलता पर।,जैसे ही वह प्रोजेक्ट पूरा करेगा+ मैं उसे उसकी सफलता पर बधाई दूँगा।,2,human
इसमें सोशल-इकोनॉमिक और डेमोग्राफिक फैक्टर+ सब्सटेंस का यूज़+ बॉडी मास इंडेक्स+ न्यू ऑनसेट फिजिकल इलनेस और परसीव्ड सोशल सपोर्ट इन्क्लूड हैं।,इसमें सामाजिक-आर्थिक और जनसांख्यिकीय कारक+ पदार्थ का उपयोग+ बॉडी मास इंडेक्स+ नई शुरुआत शारीरिक बीमारी और कथित सामाजिक समर्थन शामिल हैं।,1,synthetic
मेरा मित्र कल अमेरिका से वापस आएगा और मैं उसे एयरपोर्ट को लेने जाऊँगा।,मेरा मित्र कल अमेरिका से वापस आएगा और मैं उसे एयरपोर्ट से लेने जाऊँगा।,1,human
