incorrect,correct,#errors,data_source
न्यास के अधिकारियों ने कहा कि उन्हें शिकायतें मिली थीं कि कुछ लोग मंदिर में ''आपत्तिजनक तरीके से कपड़े पहनकर आते हैं।,न्यास के अधिकारियों ने कहा कि उन्हें शिकायतें मिली थीं कि कुछ लोग मंदिर में 'आपत्तिजनक तरीके से कपड़े पहनकर आते हैं।,2,synthetic
मुझे लगता है तुम्हारा बात सही है। मैं गलत था।,मुझे लगता है तुम्हारी बात सही है। मैं गलत था।,1,human
उत्तर प्रदेश की 80 लोकसभा सीटों में से मात्र रायबरेली का सीट पर ही सोनिया गांधी ने ‘जुगनू’ की तरह जीत हासिल की थी।,उत्तर प्रदेश की 80 लोकसभा सीटों में से मात्र रायबरेली की सीट पर ही सोनिया गांधी ने ‘जुगनू’ की तरह जीत हासिल की थी।,1,synthetic
हमारे गाँव का सरपंच बहुत अच्छा व्यक्ति है और सभी का समस्याओं को सुनता है लेकिन कुछ लोग राजनीति करते हैं।,हमारे गाँव के सरपंच बहुत अच्छे व्यक्ति हैं और सभी की समस्याओं को सुनते हैं लेकिन कुछ लोग राजनीति करते हैं।,5,human
14 अप्रैल से लेकर 5 मई 2020 तक ब्लू डार्ट ने गुआंगझू और शंघाई से लगभग 114 टन और हॉन्ग कॉन्ग से 24 टन चिकित्सा सामग्री का परिवहन किये हैं।,14 अप्रैल से लेकर 5 मई 2020 तक ब्लू डार्ट ने गुआंगझू और शंघाई से लगभग 114 टन और हॉन्ग कॉन्ग से 24 टन चिकित्सा सामग्री का परिवहन किया है।,2,synthetic
कोर्ट ने सरकार को आदेश दिया कि अगली सुनवाई पर वह इस मुद्दे पर एक एफिडेविट फाइल करेगी।,कोर्ट ने सरकार को आदेश दिया कि अगली सुनवाई पर वह इस मुद्दे पर एक एफिडेविट फाइल करे।,1,synthetic
कल हमारे गाँव में एक बड़ा मेला लगा था जिसमें दूर-दूर से लोग आया था और तरह-तरह का खेल+ मिठाई और खिलौना बिक रहा था लेकिन भीड़ के कारण बहुत परेशानी हुआ था।,कल हमारे गाँव में एक बड़ा मेला लगा था जिसमें दूर-दूर से लोग आए थे और तरह-तरह के खेल+ मिठाइयाँ और खिलौने बिक रहे थे लेकिन भीड़ के कारण बहुत परेशानी हुई थी।,5,human
यह ऐप गूगल प्ले और आइफोन का ऐप स्टोर पर जाकर डाउनलोड किया जा सकेगा।,यह एप गूगल प्ले और आइफोन के एप स्टोर पर जाकर डाउनलोड किया जा सकेगा।,4,synthetic
आप जानते हैं कि आज दुनिया का सत्ता का आनंद वही उठाता है जिसका पास सबसे ज्यादा ताकत होता है।,आप जानते हैं कि आज दुनिया की सत्ता का आनंद वही उठाता है जिसके पास सबसे ज्यादा ताकत होती है।,3,synthetic
मैं तुम्हारे घर आता हूँ और हम दोनों मिलकर प्रोजेक्ट पूरा करते हैं आज शाम।,मैं तुम्हारे घर आऊँगा और हम दोनों मिलकर आज शाम प्रोजेक्ट पूरा करेंगे।,2,human
मैं रोज़ सुबह जल्दी उठता हूँ और अपना दाँत साफ करके नाश्ता करता हूँ।,मैं रोज़ सुबह जल्दी उठता हूँ और अपने दाँत साफ करके नाश्ता करता हूँ।,1,human
"साथियो, आप भलीभांति परिचित हैं कि भारत के टैक्स सिस्टम में पहले किस तरह की कमियां थीं।","साथियो, भारत के टैक्स सिस्टम में पहले किस तरह की कमियां थीं, इससे आप भलीभांति परिचित हैं।",4,synthetic
कदाचित यह खतरे की घंटी होती है जो व्यक्ति को अपने आहार में परिवर्तन करने अथवा अग्नि का संतुलन बिगाड़ने वाली आदतों को सुधारने के लिए सावधान करती है।,कदाचित यह खतरे की घंटी होती है जो व्यक्ति को अपने आहार में परिवर्तन करने अथवा अग्नि का संतुलन बिगाड़ने वाली आदतों को सुधारने के लिए सावधान करती है।,3,synthetic
बिजली का कनेक्शन कटवाने के लिए भी पैसा देना पड़ता है।,बिजली का कनेक्शन कटवाने के लिए भी पैसे देने पड़ते हैं।,2,human
प्रधानमंत्री नरेन्द्र मोदी का पास कार्मिक एवं प्रशिक्षण विभाग+ परमाणु ऊर्जा एवं महत्वपूर्ण नीति से जुड़ा मुद्दों वाला तथा बिना आवंटित विभाग रहेंगा।,प्रधानमंत्री नरेन्द्र मोदी के पास कार्मिक एवं प्रशिक्षण विभाग+ परमाणु ऊर्जा एवं महत्वपूर्ण नीति से जुड़े मुद्दों वाले तथा बिना आवंटित विभाग रहेंगे।,3,synthetic
प्रस्तुत की गया श्री प्रसून जोशी+ श्री शंकर महादेवन+ श्री एहसान नूरानी तथा श्री लोय मेंडोसा से।,श्री प्रसून जोशी+ श्री शंकर महादेवन+श्री एहसान नूरानी तथा श्री लोय मेंडोसा द्वारा प्रस्तुत किया गया।,3,synthetic
मेरी बहन हर सप्ताहांत अपना सहेलियों के साथ व्यापारिक केंद्र जाता है।,मेरी बहन हर सप्ताहांत अपनी सहेलियों के साथ व्यापारिक केंद्र जाती है।,2,human
पुलिस ने दोनों आरोपितों के खिलाफ केस दर्ज कर उनकी तलाश शुरु कर दी है।,पुलिस ने दोनों आरोपितों के खिलाफ छेड़छाड़ का केस दर्ज कर उनकी तलाश शुरु कर दी है।,4,synthetic
